Wavelength [nm],led.RAW8,peaks.RAW8,sodium.RAW8
415.553,19.39999962,69,-11.19999981
415.629,1.399999976,82.80000305,-20.79999924
415.704,-6.599999905,90.80000305,-22.20000076
415.780,25,52.59999847,-3.200000048
415.856,-6,41.20000076,-9.399999619
415.931,12.19999981,37,5.400000095
416.007,7,63.20000076,9.800000191
416.082,14.80000019,48.40000153,13.19999981
416.158,-26.20000076,28,-6.400000095
416.233,-15.19999981,66,17.79999924
416.309,25.60000038,72.40000153,-19.20000076
416.384,17.20000076,57.79999924,-6.400000095
416.460,-1.799999952,83.40000153,-14
416.535,25.39999962,59.59999847,13
416.611,-13,101.1999969,-34.40000153
416.686,-18.79999924,84.40000153,-17.20000076
416.762,-3.200000048,95.40000153,-14.80000019
416.837,8,45.20000076,34
416.913,20.60000038,56.40000153,9.600000381
416.988,21.60000038,70.40000153,13.19999981
417.064,-0.800000012,72.40000153,-14
417.139,10.80000019,39.59999847,9
417.215,11.60000038,44.79999924,-8.399999619
417.290,-25,29,-19.39999962
417.365,4.599999905,46.79999924,-13.80000019
417.441,13,46.40000153,14.39999962
417.516,26.79999924,80.80000305,18.79999924
417.592,6.199999809,27.79999924,-0.800000012
417.667,11.80000019,51.40000153,1.200000048
417.743,21.39999962,68.80000305,16.60000038
417.818,35.79999924,85.80000305,35.20000076
417.893,-21.60000038,102,-21.20000076
417.969,12.60000038,93.19999695,9
418.044,35.20000076,115,4.800000191
418.120,40.40000153,108.5999985,19.20000076
418.195,-4.800000191,46.79999924,-12.60000038
418.271,14,63.40000153,3.400000095
418.346,5.199999809,40.59999847,-3.200000048
418.421,8,67.80000305,-4.400000095
418.497,41.59999847,36.40000153,-26.79999924
418.572,0.800000012,35.20000076,29.39999962
418.647,-19.79999924,43,-12.80000019
418.723,9,28,-18.60000038
418.798,-12.80000019,35.59999847,-22.60000038
418.874,63.79999924,45.59999847,-21.39999962
418.949,21.60000038,63.79999924,32.20000076
419.024,-8.800000191,16,4.599999905
419.100,-15.60000038,50,-15.60000038
419.175,8.800000191,33.79999924,-32
419.250,27.39999962,53,-11
419.326,26.20000076,109.8000031,-16.60000038
419.401,8,71.19999695,11.39999962
419.476,18.60000038,102.8000031,-2.200000048
419.552,9.199999809,81.40000153,12.80000019
419.627,8.600000381,101.5999985,-13.39999962
419.702,4,66.40000153,-7.199999809
419.777,-1.399999976,68.19999695,-27.39999962
419.853,-17.60000038,24.39999962,-17.60000038
419.928,5.400000095,75.19999695,-1.600000024
420.003,4.599999905,20.39999962,16
420.079,-0.600000024,41.79999924,-24
420.154,-2.599999905,12.19999981,-16.20000076
420.229,18.20000076,55,-19.20000076
420.305,-0.400000006,37.20000076,-6
420.380,14.39999962,52,10.80000019
420.455,13.80000019,0.400000006,21.60000038
420.530,-0.600000024,32.20000076,-13.60000038
420.606,14,-12.19999981,-22.39999962
420.681,-14.19999981,31.60000038,16.20000076
420.756,-29.60000038,18,-13
420.831,17.79999924,45.20000076,-17.60000038
420.907,-30,17,25.20000076
420.982,5.599999905,39.79999924,-0.800000012
421.057,-20.20000076,19.39999962,3.400000095
421.132,10.19999981,43.79999924,2.599999905
421.207,-14.80000019,38,-27.79999924
421.283,30.79999924,39.59999847,-3.400000095
421.358,-23.60000038,59.20000076,13.39999962
421.433,30.79999924,87.19999695,-7.599999905
421.508,-7.199999809,86,-5.800000191
421.583,8.399999619,67.19999695,-0.200000003
421.659,-11.39999962,51.40000153,11
421.734,13.19999981,37,-5.400000095
421.809,-1,-2.599999905,-6.599999905
421.884,-3.799999952,19.79999924,7.400000095
421.959,20,-2.599999905,1.600000024
422.035,34.40000153,22.60000038,-14
422.110,-28.20000076,10.19999981,-8.399999619
422.185,24.39999962,39.40000153,13.80000019
422.260,16.60000038,26.60000038,11.60000038
422.335,16.20000076,28.79999924,18.39999962
422.410,5.199999809,18.20000076,13.39999962
422.485,39.20000076,15.39999962,-37.79999924
422.561,13.60000038,8.199999809,-1.399999976
422.636,-11.39999962,27,4.800000191
422.711,12.60000038,45.40000153,11.80000019
422.786,35.20000076,26,-9.600000381
422.861,-11.80000019,-9.800000191,-5.400000095
422.936,-1.200000048,-3.799999952,-1.399999976
423.011,-34,7,-10.80000019
423.086,43.40000153,35.20000076,13.19999981
423.161,-7.400000095,-7.199999809,23.60000038
423.237,-3.799999952,10.39999962,-3.400000095
423.312,-5.199999809,15.39999962,-23.39999962
423.387,-5,7.800000191,-16.20000076
423.462,4.400000095,-2.599999905,21.60000038
423.537,17,15.60000038,32.59999847
423.612,-29,22.39999962,-23
423.687,-10,29.20000076,20.79999924
423.762,-31.79999924,25.60000038,-5
423.837,-3.400000095,22.39999962,-3.599999905
423.912,10.80000019,-5.599999905,8
423.987,-4.599999905,17.39999962,-4.199999809
424.062,-4.199999809,12.80000019,17.20000076
424.137,-6.400000095,21.20000076,6.800000191
424.212,-18,15.39999962,-3
424.287,15.60000038,22,6.400000095
424.362,0,-12,-12.39999962
424.437,36.20000076,33,-20.79999924
424.512,27.39999962,-17.60000038,33.79999924
424.587,13.60000038,62.40000153,11.39999962
424.662,-9.800000191,9.399999619,6
424.737,29,63.40000153,8.399999619
424.812,18.79999924,111,7.800000191
424.887,22.79999924,127.8000031,0.800000012
424.962,13.19999981,31.39999962,43.40000153
425.037,-9.800000191,40.59999847,5.599999905
425.112,-26,1.799999952,3
425.187,10.80000019,31.39999962,15.39999962
425.262,-20.60000038,16.20000076,-14.80000019
425.337,21,41,-21.79999924
425.412,11.80000019,14.80000019,-19.20000076
425.487,10.60000038,19.20000076,-13.60000038
425.562,7.800000191,22.39999962,-9.199999809
425.637,-4.599999905,31,0.200000003
425.712,-4.599999905,16.39999962,10.80000019
425.787,42.20000076,10.39999962,15.80000019
425.862,-35.59999847,18.39999962,18.39999962
425.937,58.79999924,32.79999924,16.60000038
426.012,12.19999981,9.600000381,-9.199999809
426.087,12.39999962,42,-5.599999905
426.162,32.40000153,21.20000076,-8.199999809
426.236,25,33.20000076,32.40000153
426.311,2.200000048,44,10.80000019
426.386,27.79999924,31,-5.199999809
426.461,19,31.39999962,-11.19999981
426.536,-1.600000024,22.39999962,-14.60000038
426.611,9.199999809,16.39999962,-0.600000024
426.686,5.599999905,11.60000038,-1.200000048
426.761,15,19.60000038,7
426.836,12.19999981,23.20000076,17
426.910,-10.60000038,23.20000076,-12
426.985,0.400000006,31.20000076,0.200000003
427.060,26.39999962,9.800000191,-7.400000095
427.135,14.19999981,46.59999847,1.399999976
427.210,-9,43.40000153,-23.39999962
427.285,6.199999809,87,10
427.360,-11.80000019,287.6000061,-25.20000076
427.434,-1.399999976,1015.599976,-6
427.509,2.799999952,770.5999756,7
427.584,17.20000076,149.6000061,-21.60000038
427.659,-13,51.20000076,21.79999924
427.734,37,25.60000038,-12.19999981
