Wavelength [nm],spectra
459.690,0.935838499
459.764,0.97116154
459.837,0.966507111
459.911,0.973911222
459.984,0.899973175
460.057,0.94977901
460.131,0.974922028
460.204,0.956318955
460.277,0.952647414
460.351,0.964894726
460.424,0.923489478
460.498,0.968058209
460.571,0.934701211
460.644,0.967236399
460.718,0.921541974
460.791,0.984582491
460.864,0.982321822
460.938,1.017066979
461.011,0.946555679
461.084,0.94961043
461.157,0.943153192
461.231,0.98145235
461.304,0.96056949
461.377,0.977329328
461.451,1.022595237
461.524,0.982066979
461.597,0.956152547
461.670,0.993873789
461.744,0.926158917
461.817,0.955879151
461.890,0.971546423
461.964,0.982405427
462.037,0.985459811
462.110,0.948672039
462.183,0.966557201
462.256,0.959068266
462.330,0.974994872
462.403,0.978769407
462.476,0.953856913
462.549,0.980379611
462.623,0.98534079
462.696,0.994541903
462.769,0.96926937
462.842,0.989504699
462.915,0.951475174
462.989,0.959045064
463.062,0.982149767
463.135,0.995376627
463.208,0.981456844
463.281,0.985834325
463.354,0.970550562
463.428,0.963087915
463.501,0.953502338
463.574,0.966301206
463.647,0.946278472
463.720,0.984488481
463.793,0.974681411
463.866,0.943213135
463.939,0.948888756
464.013,0.966853076
464.086,1.011903127
464.159,0.982351942
464.232,0.944135951
464.305,1.007420267
464.378,0.978648541
464.451,1.006499167
464.524,0.97489636
464.597,0.988951159
464.670,0.959623896
464.743,0.964447119
464.816,0.996118368
464.890,0.968855529
464.963,0.973565293
465.036,1.009467089
465.109,1.011636522
465.182,0.998965581
465.255,1.006433569
465.328,0.998704884
465.401,0.981377577
465.474,0.944468942
465.547,0.979426053
465.620,0.993875519
465.693,0.991941354
465.766,0.993091579
465.839,0.964505583
465.912,0.985617739
465.985,1.012023361
466.058,0.993984968
466.131,0.979169563
466.204,1.010299955
466.277,0.975921345
466.349,0.974215206
466.422,0.9931542
466.495,0.969611007
466.568,0.972044774
466.641,1.035884582
466.714,0.970451836
466.787,1.004655573
466.860,1.006664148
466.933,0.973082649
467.006,0.999376789
467.079,1.008950784
467.152,0.975380886
467.225,1.024476213
467.297,1.009115959
467.370,0.990084024
467.443,0.993117845
467.516,1.002924551
467.589,1.000567332
467.662,1.008153824
467.735,0.989320349
467.807,0.992962402
467.880,1.009979055
467.953,0.999745392
468.026,0.997111627
468.099,1.009848367
468.172,1.035189019
468.244,1.004365439
468.317,0.98755782
468.390,0.983004889
468.463,1.001878708
468.536,0.989553986
468.608,0.977280578
468.681,1.007523447
468.754,1.013249674
468.827,1.001095012
468.900,0.986874969
468.972,1.029848889
469.045,0.984563507
469.118,1.014092006
469.191,0.990708908
469.263,1.0377456
469.336,1.021098183
469.409,0.997411451
469.482,1.016885754
469.554,0.988047797
469.627,1.028523757
469.700,0.990529168
469.772,1.018656265
469.845,1.007779682
469.918,1.020543014
469.991,1.014240437
470.063,1.010345128
470.136,1.055620512
470.209,1.036714421
470.281,1.024150457
470.354,0.98053177
470.427,1.000696318
470.499,0.978602943
470.572,1.030311912
470.645,0.988797421
470.717,1.035007746
470.790,1.010928196
470.863,1.009586695
470.935,0.999296687
471.008,1.049995089
471.080,1.061337919
471.153,1.026923306
471.226,1.008301275
471.298,0.999135407
471.371,1.002626648
471.443,1.043871755
471.516,1.017625961
471.589,1.038657478
471.661,1.027502153
471.734,1.046610651
471.806,1.028859216
471.879,1.012018011
471.952,1.010751093
472.024,1.038943369
472.097,1.037750004
472.169,1.032313748
472.242,1.008705288
472.314,1.058576655
472.387,1.015046378
472.459,1.034829047
472.532,1.052386723
472.604,1.040288744
472.677,1.015981522
472.749,1.048596944
472.822,1.036191489
472.894,1.044192482
472.967,1.023791413
473.039,1.053070708
473.112,1.052193397
473.184,1.027205672
473.257,1.025967006
473.329,1.049079968
473.402,1.002928356
473.474,1.038176149
473.547,1.017964323
473.619,1.033076099
473.691,1.040459825
473.764,1.044284219
473.836,1.037066856
473.909,1.049183264
473.981,1.002170926
474.054,1.036096343
474.126,1.015866994
474.198,1.082692449
474.271,1.045966339
474.343,1.029021452
474.415,1.038466207
474.488,1.029034359
474.560,1.053994359
474.633,1.031324388
474.705,1.026636335
474.777,1.028411528
474.850,1.039148509
474.922,1.084962881
474.994,1.058816159
475.067,1.055195628
475.139,1.041154204
475.211,1.04719059
475.284,1.027801028
475.356,1.032500251
475.428,1.065800243
475.501,1.031656985
475.573,1.049056423
475.645,1.051356326
475.718,1.031726315
475.790,1.088613204
475.862,1.061823175
475.934,1.058774099
476.007,1.061167406
476.079,1.032622384
476.151,1.030024408
476.223,1.032584432
476.296,1.062350254
476.368,1.050878569
476.440,1.034482221
476.512,1.032832913
476.585,1.032083495
476.657,1.052431544
476.729,1.042426954
476.801,1.065116877
476.874,1.048696345
